station,from,to,duration,int1,int2,int3,int4,int5,int6,int7,slope,intercept,rvalue,est7,est6p5,est6,latitude,longitude
1670000,1919-01-01,2010-12-31,33602,3509.0,1181.0,290.0,49.0,2.0,0.0,0.0,-0.909,3.098,-0.981,0.000547,0.00156,0.00443,43.333333333333336,145.58333333333334
2000000,1919-01-01,2010-12-31,33602,1495.0,603.0,159.0,34.0,2.0,0.0,0.0,-0.811,2.577,-0.983,0.000798,0.00203,0.00516,40.81666666666667,140.76666666666668
2000030,1998-10-15,2010-12-31,4460,200.0,52.0,11.0,2.0,0.0,0.0,0.0,-0.707,2.055,-1.0,0.00127,0.00286,0.00646,40.71666666666667,140.6
2000100,1996-04-01,2010-12-31,5387,59.0,39.0,11.0,1.0,0.0,0.0,0.0,-0.796,2.095,-0.984,0.000336,0.00084,0.0021,40.8,140.45
2000101,1994-07-15,2010-12-31,6013,94.0,27.0,5.0,3.0,0.0,0.0,0.0,-0.477,1.084,-0.955,0.00555,0.00961,0.0166,41.06666666666667,140.4
2000130,1998-10-15,2010-12-31,4460,159.0,35.0,6.0,2.0,0.0,0.0,0.0,-0.622,1.652,-0.991,0.002,0.0041,0.00838,40.9,140.45
2000200,1996-04-01,2010-12-31,5387,199.0,122.0,28.0,6.0,0.0,0.0,0.0,-0.654,2.231,-1.0,0.00449,0.00953,0.0202,40.93333333333333,140.95
2000530,1998-10-15,2010-12-31,4460,156.0,44.0,7.0,2.0,0.0,0.0,0.0,-0.671,1.857,-0.994,0.00144,0.00312,0.00675,40.96666666666667,140.65
2001430,1998-10-15,2010-12-31,4460,97.0,38.0,9.0,1.0,0.0,0.0,0.0,-0.79,2.128,-0.993,0.000397,0.000985,0.00244,40.7,140.45
2002030,1998-10-15,2010-12-31,4460,132.0,48.0,8.0,1.0,0.0,0.0,0.0,-0.841,2.297,-0.999,0.000258,0.00068,0.00179,40.81666666666667,140.38333333333333
2002032,1998-10-15,2010-12-31,4460,157.0,46.0,9.0,1.0,0.0,0.0,0.0,-0.831,2.28,-0.996,0.000288,0.000751,0.00196,40.78333333333333,140.41666666666666
2002033,1998-10-15,2010-12-31,4460,162.0,54.0,11.0,3.0,0.0,0.0,0.0,-0.628,1.88,-0.998,0.00306,0.00631,0.013,40.88333333333333,140.4
2002034,1998-10-15,2010-12-31,4460,147.0,41.0,8.0,2.0,0.0,0.0,0.0,-0.656,1.82,-0.999,0.00169,0.0036,0.00767,40.95,140.36666666666667
2002131,1998-10-15,2010-12-31,4460,99.0,25.0,5.0,1.0,0.0,0.0,0.0,-0.699,1.709,-1.0,0.000655,0.00146,0.00328,41.15,140.63333333333333
2010300,1940-01-01,2010-12-31,25932,780.0,258.0,68.0,7.0,2.0,0.0,0.0,-0.732,2.058,-0.993,0.00086,0.002,0.00464,40.65,139.93333333333334
2010331,1998-10-15,2010-12-31,4460,75.0,10.0,3.0,1.0,0.0,0.0,0.0,-0.5,0.906,-1.0,0.00254,0.00453,0.00805,40.583333333333336,139.93333333333334
2010830,1998-10-15,2010-12-31,4460,166.0,51.0,9.0,2.0,0.0,0.0,0.0,-0.703,2.011,-0.999,0.00122,0.00275,0.00618,40.65,140.5
2010831,1998-10-15,2010-12-31,4460,167.0,65.0,17.0,3.0,0.0,0.0,0.0,-0.668,2.09,-0.997,0.0026,0.00561,0.0121,40.68333333333333,140.55
2011330,1998-10-15,2010-12-31,4460,164.0,45.0,9.0,3.0,0.0,0.0,0.0,-0.588,1.706,-0.994,0.00388,0.00764,0.015,40.63333333333333,140.55
2011560,1998-10-15,2010-12-31,4460,150.0,43.0,8.0,3.0,0.0,0.0,0.0,-0.578,1.652,-0.989,0.00403,0.00784,0.0153,40.61666666666667,140.56666666666666
2020000,1936-07-01,2010-12-31,27211,3548.0,1262.0,290.0,41.0,6.0,1.0,0.0,-0.789,2.873,-0.999,0.00225,0.00559,0.0138,40.53333333333333,141.51666666666668
2020001,1996-04-01,2010-12-31,5387,185.0,34.0,8.0,2.0,1.0,0.0,0.0,-0.52,1.334,-0.989,0.00497,0.00904,0.0164,40.38333333333333,141.51666666666668
2020030,1998-10-15,2010-12-31,4460,341.0,185.0,45.0,13.0,2.0,1.0,0.0,-0.589,2.335,-0.993,0.0164,0.0323,0.0635,40.4,141.43333333333334
2020131,1998-10-15,2010-12-31,4460,217.0,49.0,13.0,1.0,0.0,0.0,0.0,-0.845,2.383,-0.984,0.000293,0.000776,0.00205,40.583333333333336,141.11666666666667
2020400,1994-07-15,2010-12-31,6013,57.0,14.0,5.0,1.0,0.0,0.0,0.0,-0.573,1.118,-0.992,0.00128,0.00247,0.00478,40.78333333333333,141.06666666666666
2020430,1998-10-15,2010-12-31,4460,343.0,87.0,19.0,6.0,0.0,0.0,0.0,-0.581,1.987,-0.997,0.00837,0.0163,0.0319,40.7,141.15
2020431,1998-10-15,2010-12-31,4460,499.0,135.0,40.0,8.0,1.0,0.0,0.0,-0.709,2.554,-0.993,0.0039,0.00881,0.0199,40.75,141.15
2020730,1998-10-15,2010-12-31,4460,319.0,94.0,28.0,6.0,0.0,0.0,0.0,-0.597,2.105,-0.998,0.00837,0.0167,0.0331,40.61666666666667,141.33333333333334
2021030,1998-10-15,2010-12-31,4460,313.0,80.0,20.0,7.0,0.0,0.0,0.0,-0.529,1.85,-0.997,0.014,0.0258,0.0474,40.78333333333333,141.21666666666667
2021031,1998-10-15,2010-12-31,4460,482.0,132.0,40.0,8.0,1.0,0.0,0.0,-0.706,2.541,-0.993,0.00397,0.00894,0.0202,40.733333333333334,141.25
2021300,1996-04-01,2010-12-31,5387,309.0,79.0,14.0,3.0,0.0,0.0,0.0,-0.71,2.136,-0.999,0.00146,0.0033,0.00748,40.96666666666667,141.36666666666667
2021430,1998-10-15,2010-12-31,4460,132.0,39.0,11.0,1.0,0.0,0.0,0.0,-0.796,2.177,-0.984,0.000406,0.00101,0.00254,40.38333333333333,141.26666666666668
2021500,1996-04-01,2010-12-31,5387,695.0,192.0,42.0,11.0,2.0,1.0,0.0,-0.589,2.237,-0.994,0.013,0.0256,0.0505,40.53333333333333,141.3
2021530,1998-10-15,2010-12-31,4460,370.0,94.0,25.0,7.0,1.0,0.0,0.0,-0.647,2.233,-0.995,0.00504,0.0106,0.0223,40.5,141.25
2021630,1998-10-15,2010-12-31,4460,176.0,47.0,11.0,2.0,0.0,0.0,0.0,-0.686,1.975,-0.999,0.0015,0.0033,0.00727,40.333333333333336,141.15
2021831,1998-10-15,2010-12-31,4460,563.0,201.0,50.0,14.0,1.0,0.0,0.0,-0.746,2.812,-0.984,0.00388,0.00915,0.0216,40.416666666666664,141.33333333333334
2021832,1998-10-15,2010-12-31,4460,387.0,130.0,30.0,9.0,2.0,0.0,0.0,-0.596,2.211,-0.999,0.0109,0.0217,0.0431,40.46666666666667,141.38333333333333
2021930,1998-10-15,2010-12-31,4460,417.0,231.0,62.0,13.0,2.0,1.0,0.0,-0.622,2.515,-0.993,0.0145,0.0297,0.0608,40.45,141.61666666666667
2022330,1998-10-15,2010-12-31,4460,103.0,30.0,7.0,1.0,0.0,0.0,0.0,-0.739,1.903,-0.997,0.000541,0.00127,0.00296,40.46666666666667,141.16666666666666
2022430,1998-10-15,2010-12-31,4460,342.0,95.0,23.0,7.0,0.0,0.0,0.0,-0.566,2.007,-0.999,0.011,0.0212,0.0407,40.6,141.43333333333334
2022431,1998-10-15,2010-12-31,4460,456.0,128.0,43.0,10.0,1.0,0.0,0.0,-0.696,2.533,-0.986,0.00461,0.0103,0.0229,40.6,141.4
2030000,1935-01-01,2010-12-31,27758,1251.0,550.0,161.0,36.0,4.0,0.0,0.0,-0.707,2.368,-0.991,0.00265,0.00597,0.0135,41.28333333333333,141.21666666666667
2030001,1994-07-15,2010-12-31,6013,149.0,26.0,5.0,1.0,0.0,0.0,0.0,-0.707,1.611,-1.0,0.000455,0.00103,0.00232,41.38333333333333,141.05
2030430,1998-10-15,2010-12-31,4460,558.0,180.0,41.0,6.0,2.0,0.0,0.0,-0.67,2.494,-0.995,0.0064,0.0138,0.0299,41.28333333333333,141.33333333333334
2100000,1923-01-01,2010-12-31,32141,3710.0,1298.0,311.0,45.0,2.0,0.0,0.0,-0.928,3.192,-0.984,0.0005,0.00145,0.00423,39.65,141.96666666666667
2100100,1996-04-01,2010-12-31,5387,328.0,94.0,17.0,5.0,2.0,0.0,0.0,-0.555,1.824,-0.99,0.00872,0.0165,0.0313,40.18333333333333,141.78333333333333
2100400,1996-04-01,2010-12-31,5387,332.0,94.0,14.0,6.0,2.0,0.0,0.0,-0.538,1.765,-0.984,0.00992,0.0184,0.0343,39.46666666666667,141.95
2100600,1994-07-15,2010-12-31,6013,207.0,37.0,9.0,3.0,1.0,0.0,0.0,-0.518,1.347,-0.998,0.00525,0.00952,0.0173,39.93333333333333,141.86666666666667
2101600,1996-04-01,2010-12-31,5387,321.0,79.0,17.0,4.0,1.0,0.0,0.0,-0.632,1.976,-1.0,0.00356,0.00737,0.0153,40.416666666666664,141.71666666666667
2110000,1963-07-01,2010-12-31,17350,2378.0,787.0,215.0,40.0,5.0,1.0,0.0,-0.743,2.799,-0.997,0.004,0.00939,0.0221,39.06666666666667,141.71666666666667
2110001,1994-07-15,2010-12-31,6013,579.0,135.0,33.0,7.0,2.0,0.0,0.0,-0.616,2.139,-0.999,0.0067,0.0136,0.0277,39.083333333333336,141.66666666666666
2110200,1996-04-01,2010-12-31,5387,455.0,109.0,21.0,6.0,2.0,0.0,0.0,-0.575,1.955,-0.996,0.00846,0.0164,0.0318,39.28333333333333,141.88333333333333
2120000,1923-09-01,2010-12-31,31898,3235.0,1108.0,284.0,61.0,6.0,0.0,0.0,-0.747,2.688,-0.992,0.00289,0.00682,0.0161,39.7,141.16666666666666
2120100,1996-04-01,2010-12-31,5376,617.0,208.0,51.0,12.0,3.0,0.0,0.0,-0.615,2.381,-1.0,0.0119,0.0241,0.049,40.266666666666666,141.3
2120200,1996-04-01,2010-12-31,5387,180.0,53.0,11.0,4.0,0.0,0.0,0.0,-0.561,1.637,-0.992,0.00512,0.00977,0.0186,39.7,140.98333333333332
2120300,1994-07-15,2010-12-31,6013,332.0,71.0,22.0,4.0,1.0,0.0,0.0,-0.629,1.935,-0.998,0.00338,0.00699,0.0144,39.983333333333334,141.33333333333334
2121200,1996-04-01,2010-12-31,5387,303.0,87.0,18.0,4.0,2.0,0.0,0.0,-0.557,1.805,-0.987,0.00807,0.0153,0.0291,39.93333333333333,141.1
2130100,1994-07-15,2010-12-31,6013,495.0,125.0,25.0,9.0,2.0,0.0,0.0,-0.583,2.012,-0.997,0.00851,0.0167,0.0326,39.483333333333334,141.28333333333333
2130200,1996-04-01,2010-12-31,5387,413.0,125.0,23.0,5.0,3.0,0.0,0.0,-0.552,1.923,-0.977,0.0114,0.0215,0.0407,39.3,141.11666666666667
2130401,1996-04-01,2010-12-31,5387,294.0,59.0,12.0,5.0,1.0,0.0,0.0,-0.569,1.711,-0.994,0.00532,0.0102,0.0197,39.016666666666666,141.4
2132700,1996-04-01,2010-12-31,5387,353.0,118.0,23.0,4.0,3.0,0.0,0.0,-0.554,1.9,-0.966,0.0104,0.0198,0.0374,39.13333333333333,141.13333333333333
2200200,1996-04-01,2010-12-31,5387,864.0,242.0,55.0,12.0,3.0,0.0,0.0,-0.638,2.485,-1.0,0.0104,0.0217,0.0453,38.88333333333333,141.56666666666666
2201600,1996-04-01,2010-12-31,5387,714.0,366.0,109.0,29.0,9.0,2.0,0.0,-0.561,2.538,-0.999,0.041,0.0781,0.149,38.53333333333333,141.13333333333333
2205200,1996-04-12,2010-12-31,5376,922.0,262.0,61.0,11.0,4.0,2.0,0.0,-0.542,2.229,-0.987,0.0273,0.051,0.0951,38.833333333333336,141.0
2205300,1996-04-01,2010-12-31,5387,753.0,271.0,67.0,10.0,5.0,0.0,0.0,-0.603,2.431,-0.986,0.0163,0.0325,0.0651,38.71666666666667,141.23333333333332
2205500,1996-04-01,2010-12-31,5387,799.0,232.0,54.0,9.0,3.0,0.0,0.0,-0.644,2.469,-0.996,0.00909,0.0191,0.0401,38.68333333333333,141.45
2205700,1996-04-01,2010-12-31,5387,727.0,261.0,63.0,13.0,6.0,1.0,0.0,-0.585,2.395,-0.995,0.0198,0.0388,0.0762,38.56666666666667,140.95
2211500,1996-04-01,2010-12-31,5387,346.0,93.0,24.0,5.0,1.0,0.0,0.0,-0.659,2.148,-0.999,0.00345,0.00736,0.0157,38.05,140.76666666666668
2211700,1994-07-15,2010-12-31,6013,230.0,71.0,16.0,1.0,0.0,0.0,0.0,-0.926,2.579,-0.985,0.000126,0.000365,0.00106,37.86666666666667,140.78333333333333
2220000,1994-07-15,2010-12-31,6013,462.0,127.0,27.0,7.0,2.0,0.0,0.0,-0.599,2.052,-0.999,0.00717,0.0143,0.0285,38.36666666666667,140.66666666666666
2220100,1926-10-01,2010-12-31,30772,1687.0,637.0,184.0,39.0,8.0,0.0,0.0,-0.638,2.197,-0.998,0.00541,0.0113,0.0235,38.266666666666666,140.9
2220500,1919-01-01,2010-12-31,33602,2240.0,713.0,193.0,34.0,11.0,1.0,0.0,-0.695,2.359,-0.993,0.00311,0.00693,0.0154,38.43333333333333,141.3
2220501,1994-07-15,2010-12-31,6013,206.0,49.0,11.0,4.0,1.0,0.0,0.0,-0.551,1.545,-0.998,0.00488,0.0092,0.0174,38.45,141.35
2220900,1996-04-01,2010-12-31,5387,250.0,72.0,19.0,7.0,0.0,0.0,0.0,-0.506,1.677,-0.997,0.0136,0.0244,0.0436,38.38333333333333,141.06666666666666
2300000,1996-04-01,2010-12-31,5387,92.0,31.0,8.0,1.0,0.0,0.0,0.0,-0.746,1.866,-0.993,0.000443,0.00105,0.00247,40.2,140.03333333333333
2300030,1997-11-10,2010-12-31,4799,131.0,37.0,8.0,1.0,0.0,0.0,0.0,-0.784,2.057,-0.996,0.000371,0.000914,0.00225,40.21666666666667,140.03333333333333
2300031,1997-11-10,2010-12-31,4799,111.0,23.0,10.0,1.0,0.0,0.0,0.0,-0.681,1.711,-0.965,0.000881,0.00193,0.00423,40.2,140.23333333333332
2300100,1994-07-15,2010-12-31,6013,110.0,30.0,6.0,2.0,0.0,0.0,0.0,-0.588,1.4,-0.994,0.00192,0.00378,0.00744,39.916666666666664,139.8
2300130,1997-11-10,2010-12-31,4799,68.0,14.0,4.0,1.0,0.0,0.0,0.0,-0.573,1.183,-1.0,0.00149,0.00287,0.00556,39.88333333333333,139.85
2300160,1997-11-10,2010-12-31,4799,46.0,21.0,7.0,1.0,0.0,0.0,0.0,-0.661,1.587,-0.987,0.000911,0.00195,0.00417,39.96666666666667,139.91666666666666
2300730,1997-11-10,2010-12-31,4799,93.0,23.0,6.0,1.0,0.0,0.0,0.0,-0.681,1.637,-0.997,0.000743,0.00163,0.00357,40.28333333333333,140.26666666666668
2300900,1996-04-01,2010-12-31,5387,94.0,27.0,7.0,2.0,0.0,0.0,0.0,-0.565,1.386,-1.0,0.00269,0.00516,0.00988,39.95,140.11666666666667
2301430,1997-11-10,2010-12-31,4799,130.0,77.0,16.0,5.0,0.0,0.0,0.0,-0.594,1.926,-0.996,0.00588,0.0117,0.0231,39.916666666666664,140.08333333333334
2301730,1997-11-10,2010-12-31,4799,96.0,29.0,8.0,1.0,0.0,0.0,0.0,-0.731,1.864,-0.991,0.000556,0.00129,0.00299,39.86666666666667,140.06666666666666
2301732,1997-11-10,2010-12-31,4799,102.0,25.0,5.0,1.0,0.0,0.0,0.0,-0.699,1.677,-1.0,0.000609,0.00136,0.00304,39.88333333333333,139.98333333333332
2301831,1997-11-10,2010-12-31,4799,133.0,64.0,13.0,4.0,0.0,0.0,0.0,-0.602,1.862,-0.996,0.00444,0.00888,0.0178,40.1,140.06666666666666
2301832,1997-11-10,2010-12-31,4799,101.0,21.0,5.0,1.0,0.0,0.0,0.0,-0.661,1.538,-0.999,0.000814,0.00174,0.00373,40.1,140.0
2301930,1997-11-10,2010-12-31,4783,86.0,12.0,5.0,1.0,0.0,0.0,0.0,-0.54,1.094,-0.986,0.00208,0.00386,0.00719,40.36666666666667,140.01666666666668
2310000,1921-01-01,2010-12-31,32871,669.0,224.0,71.0,15.0,3.0,0.0,0.0,-0.629,1.713,-0.997,0.00202,0.00418,0.00863,39.71666666666667,140.1
2310001,1996-04-01,2010-12-31,5387,110.0,34.0,7.0,2.0,0.0,0.0,0.0,-0.615,1.569,-0.998,0.00183,0.00372,0.00755,39.55,140.2
2310030,1997-11-10,2010-12-31,4799,145.0,39.0,8.0,2.0,0.0,0.0,0.0,-0.645,1.748,-0.999,0.00171,0.00359,0.00755,39.71666666666667,140.1
2310031,1997-11-10,2010-12-31,4799,183.0,50.0,9.0,3.0,0.0,0.0,0.0,-0.611,1.758,-0.992,0.00303,0.00612,0.0124,39.65,140.21666666666667
2310032,1997-11-10,2010-12-31,4799,114.0,94.0,23.0,5.0,1.0,0.0,0.0,-0.658,2.194,-1.0,0.00386,0.00823,0.0176,39.583333333333336,140.16666666666666
2311300,1996-04-01,2010-12-31,5387,111.0,27.0,6.0,1.0,0.0,0.0,0.0,-0.716,1.715,-0.999,0.000507,0.00116,0.00263,39.4,140.05
2311330,1997-11-10,2010-12-31,4799,93.0,20.0,5.0,1.0,0.0,0.0,0.0,-0.651,1.5,-0.999,0.000883,0.00187,0.00395,39.38333333333333,140.05
2311331,1997-11-10,2010-12-31,4799,152.0,35.0,6.0,2.0,0.0,0.0,0.0,-0.622,1.62,-0.991,0.00186,0.00381,0.00779,39.233333333333334,140.13333333333333
