A2006010116333703 002 345044 007 1323315 008  99104430V   5112  6224ìáç™åßêºïî                7K
1570020 032208134 1 07 08154 00048 N00035 E00033 Z00011 F062F062F040F067F034F039                
1570130 032208170 1 12 ///// 00045 N00036 E00045 Z00014 P003P///P002P///P004P///                
1570320 032208127 1 11 08167 00040 N00036 E00036 Z00015 F046F030F029F037F030F030                
1570400 032208017 1 11 08175 00041 N00035 E00039 Z00016 F036F036F042F042F071F048                
1610002 032207494 1 09 08038 00045 N00027 E00042 Z00017 F040F040F068F068F039F039                
1610620 032207444 1 14 07596 00085 N00072 E00068 Z00038 F077F072F069F069F152F136                
1650220 032208067 1 05 08082 00025 N00023 E00011 Z00009 F033F025F040F015F036F013                
1670000 032207512 1 10 07534 00046 N00045 E00039 Z00017 F039F039F050F050F060F060                
2030431 032208590 1 06 ///// 00020 N///// E///// Z///// P///P///P///P///P///P///                
A2006050400440842 012 360794 033 1395079 039 532311237V   5111  3 88àÔèÈåßìÏïî               47K
2503101 040044398 1 05 44420 00025 N00023 E00019 Z00005 F062F062F062F062F120F142                
2503630 040044430 1 09 ///// 00036 N///// E///// Z///// P///P///P///P///P///P///                
2503730 040044450 1 09 ///// 00037 N///// E///// Z///// P///P///P///P///P///P///                
3000000 040044252 1 10 44308 00051 N00043 E00050 Z00017 F038F038F091F091F096P205                
3000030 040044320 1 06 ///// 00038 N00020 E00032 Z00033 P///P///P///P///P///P///                
3000031 040044280 1 11 ///// 00047 N00043 E00040 Z00039 P///P///P///P///P///P///                
3000130 040044350 1 13 ///// 00042 N00032 E00036 Z00023 P///P///P///P///P///P///                
3000131 040044360 1 09 ///// 00033 N00017 E00028 Z00011 P///P///P///P///P///P///                
3000530 040044260 1 09 ///// 00036 N00035 E00032 Z00016 P///P///P///P///P///P///                
3000532 040044270 1 08 ///// 00062 N00055 E00051 Z00033 P///P///P///P///P///P///                
3000630 040044320 1 05 ///// 00035 N00031 E00030 Z00016 P///P///P///P///P///P///                
3002930 040044340 1 08 ///// 00047 N00047 E00034 Z00012 P///P///P///P///P///P///                
3003130 040044310 1 11 ///// 00036 N00027 E00029 Z00011 P///P///P///P///P///P///                
3003131 040044250 1 05 ///// 00034 N00021 E00028 Z00013 P///P///P///P///P///P///                
3003133 040044290 1 06 ///// 00096 N00069 E00077 Z00026 P///P///P///P///P///P///                
3003331 040044290 1 08 ///// 00044 N00038 E00042 Z00019 P///P///P///P///P///P///                
3003430 040044260 1 07 ///// 00091 N00074 E00071 Z00058 P///P///P///P///P///P///                
3003431 040044270 1 08 ///// 00055 N00046 E00039 Z00022 P///P///P///P///P///P///                
3003432 040044270 1 07 ///// 00073 N00064 E00035 Z00036 P///P///P///P///P///P///                
3010000 040044185 1 05 44270 00038 N00038 E00027 Z00026 F120F120F123F123F118F118                
3010030 040044240 1 08 ///// 00056 N00048 E00045 Z00027 P///P///P///P///P///P///                
3010200 040044184 1 09 44259 00082 N00076 E00056 Z00048 F140F140F133F133F182F182                
3011130 040044240 1 06 ///// 00038 N00028 E00032 Z00026 P///P///P///P///P///P///                
3011131 040044250 1 08 ///// 00049 N00038 E00044 Z00029 P///P///P///P///P///P///                
3015430 040044180 1 09 ///// 00052 N00045 E00049 Z00042 P///P///P///P///P///P///                
3015600 040044177 1 13 44176 00060 N00039 E00047 Z00059 F042F042F025F025F140F049                
3015632 040044260 1 08 ///// 00050 N00029 E00042 Z00023 P///P///P///P///P///P///                
3015731 040044240 1 06 ///// 00053 N00052 E00041 Z00032 P///P///P///P///P///P///                
3015932 040044280 1 08 ///// 00043 N00039 E00039 Z00018 P///P///P///P///P///P///                
3016030 040044250 1 07 ///// 00055 N00042 E00045 Z00043 P///P///P///P///P///P///                
3016032 040044230 1 07 ///// 00079 N00074 E00051 Z00071 P///P///P///P///P///P///                
3016100 040044295 1 06 44297 00041 N00037 E00041 Z00018 F050F050F032F032F069F069                
3016130 040044310 1 05 ///// 00038 N00022 E00038 Z00010 P///P///P///P///P///P///                
3110000 040044195 1 08 44290 00048 N00040 E00043 Z00017 F128F053F133F054F133F152                
3110031 040044330 1 06 ///// 00038 N00031 E00027 Z00024 P001P001P001P001P001P001                
3110100 040044196 1 08 44273 00052 N00047 E00051 Z00010 F101F100F102F097F269P205                
3110330 040044260 1 05 ///// 00039 N00037 E00020 Z00018 P002P001P001P001P001P001                
3210230 040044301 1 07 ///// 00032 N00021 E00027 Z00008 P001P///P002P///P001P///                
3215300 040044245 1 05 44196 00031 N00027 E00019 Z00031 F030F030F061F061F195F194                
3215530 040044269 1 07 ///// 00028 N00024 E00017 Z00009 P003P///P003P///P001P///                
3215630 040044272 1 13 ///// 00088 N00085 E00050 Z00019 P002P///P002P///P001P///                
3215730 040044264 1 07 ///// 00040 N00031 E00030 Z00020 P001P///P002P///P001P///                
3300430 040044259 1 06 44262 00057 N00044 E00051 Z00042 P002P002P001P001P001P001                
3300800 040044209 1 10 44254 00042 N00039 E00033 Z00010 F048F048F040F040F083F069                
3301030 040044264 1 05 44270 00034 N00033 E00017 Z00010 P001P001P002P205P002P205                
3301830 040044296 1 11 44298 00044 N00036 E00035 Z00009 P003P003P003P003P003P026                
3310730 040044254 1 05 44256 00030 N00022 E00025 Z00016 P003P003P003P003P003P001                
A2006050403575940 010 345162 023 1391472 031  98810423V   5111  3100à…ì§îºìáìåï˚â´            1K
4400320 040358061 1 07 58065 00050 N00050 E00030 Z00028 F113F113F044F043F132F127                
A2006050406320076 010 425887 041 1453717 048 445808736V   5111  1 27ç™é∫îºìáìÏìåâ´            2K
1610320 040632174 1 08 32185 00061 N00055 E00046 Z00022 F082F081F090F091F090F090                
1670020 040632163 1 07 32164 00070 N00027 E00069 Z00013 F082F082F062F061F111F147                
A2006050407225561 004 341694 012 1351451 014  82807831V   5111  5190òaâÃéRåßñkïî              7K
5211430 040722580 1 05 22597 00054 N00017 E00054 Z00048 P002P000P002P003P001P001                
5211830 040722582 1 08 22583 00289 N00126 E00092 Z00256 P001P004P001P002P001P001                
5500000 040722587 1 12 22594 00085 N00073 E00069 Z00067 F043F043F050F050F101F101                
5500020 040722590 1 13 22593 00260 N00190 E00210 Z00149 F126F126F240F240F133F132                
5503633 040722590 1 10 ///// 00165 N00089 E00162 Z00065 F122P///F125P///F122P///                
5503730 040723010 1 10 ///// 00104 N00061 E00097 Z00031 F073P///F081P///F086P///                
5503930 040722590 1 08 ///// 00091 N00068 E00033 Z00087 F109P///F091P///F080P///                
A2006050408040913 018 303340 057 1311281 083 294807640D38V5111  7298éÌéqìáãﬂäC                2K
7760001 040804145 1 11 04203 00056 N00037 E00041 Z00019 F080F080F071F095F101P205                
7760002 040804160 1 05 04160 00040 N00016 E00017 Z00040 F035F035F094F024F081F340                
A2006050410172923 004 370795 014 1372647 018 163011739D40V5112  4166ïxéRòp                   27K
3900020 041017424 2 16 17430 00195 N00194 E00044 Z00037 F091F091F109F087F100F100                
3902131 041017356 2 16 ///// 00123 N///// E///// Z///// P///P///P///P///P///P///                
3700231 041017570 1 09 17575 00036 N00024 E00035 Z00005 P002P002P002P002P002P001                
3800035 041017533 1 05 ///// 00033 N00017 E00033 Z00008 P002P///P001P///P001P///                
3800330 041017416 1 05 ///// 00054 N00041 E00054 Z00017 P001P///P001P///P001P///                
3800331 041017404 1 11 ///// 00047 N00041 E00047 Z00020 P002P///P002P///P001P///                
3801100 041017347 1 10 17347 00089 N00030 E00032 Z00089 F033F041F040F040F140F140                
3900000 041017374 1 13 17428 00123 N00109 E00078 Z00028 F119F119F109F109F088F088                
3900030 041017289 1 10 ///// 00042 N///// E///// Z///// P///P///P///P///P///P///                
3900100 041017398 1 14 17516 00055 N00041 E00049 Z00014 F034F034F030F033F061F036                
3900101 041017490 1 06 17587 00032 N00021 E00032 Z00010 F061F061F070F068F091P205                
3900120 041017466 1 07 17470 00043 N00033 E00037 Z00013 F084F064F097F096F053F055                
3900130 041017504 1 09 ///// 00045 N///// E///// Z///// P///P///P///P///P///P///                
3900220 041017421 1 10 17423 00064 N00060 E00058 Z00031 F107F107F104F104F092F018                
3900221 041017442 1 11 17447 00090 N00085 E00076 Z00022 F062F062F085F085F061F053                
3900320 041017465 1 11 17509 00063 N00061 E00049 Z00053 F092F085F204F203F084F084                
3900600 041017472 1 08 17502 00038 N00035 E00025 Z00026 F028F028F072F072F074F093                
3900620 041017513 1 10 17534 00051 N00037 E00047 Z00022 F072F072F059F059F087F087                
3900630 041017505 1 09 ///// 00045 N///// E///// Z///// P///P///P///P///P///P///                
3901420 041017473 1 12 17489 00068 N00052 E00063 Z00033 F090F064F068F064F052F052                
3901932 041017518 1 09 ///// 00042 N///// E///// Z///// P///P///P///P///P///P///                
3902030 041017434 1 11 ///// 00049 N///// E///// Z///// P///P///P///P///P///P///                
3902031 041017492 1 07 ///// 00034 N///// E///// Z///// P///P///P///P///P///P///                
3902032 041017483 1 10 ///// 00056 N///// E///// Z///// P///P///P///P///P///P///                
3902100 041017384 1 07 17421 00032 N00031 E00022 Z00021 F054F054F051F051F063F063                
3902130 041017427 1 06 ///// 00032 N///// E///// Z///// P///P///P///P///P///P///                
3912231 041017536 1 08 ///// 00041 N///// E///// Z///// P///P///P///P///P///P///                
A2006050507580400 014 424888 043 1432219 0581128311839V38d5112  1  9è\èüínï˚íÜïî              8K
1560920 050758337 2 15 ///// 00080 N00067 E00049 Z00036 P002P///P002P///P004P///                
1550220 050758371 1 06 ///// 00025 N00022 E00023 Z00010 P003P///P002P///P002P///                
1550320 050758355 1 05 58356 00035 N00022 E00035 Z00010 F084F084F055F063F149F149                
1560020 050758334 1 05 ///// 00031 N00025 E00031 Z00010 P001P///P001P///P001P///                
1560730 050758330 1 10 ///// 00090 N00063 E00090 Z00038 P001P///P001P///P001P///                
1560800 050758342 1 11 58354 00071 N00032 E00036 Z00069 F060F060F058F058F060F060                
1610021 050758381 1 08 58387 00035 N00035 E00029 Z00011 F064F045F034F033F051F052                
1610022 050758347 1 10 ///// 00056 N00050 E00055 Z00020 P002P///P001P///P001P///                
A2006050604595024 004 345261 013 1365502 015 155106328V   5111  4162à§ímåßêºïî                4K
4512231 060459555 1 07 59556 00132 N00114 E00124 Z00037 P001P001P001P001P001P000                
4512520 060459563 1 05 59566 00086 N00080 E00059 Z00032 F140F140F073F070F218F219                
4512800 060459545 1 09 59568 00134 N00116 E00072 Z00053 F100F100F064F064F080F080                
4513830 060459560 1 06 59561 00091 N00078 E00047 Z00049 P002P002P002P002P001P000                
A2006050610385769 022 273834 107 1415249 294 76     43V40d5211  8333ïÉìáãﬂäC                  2K
3590000 061039223 1 06 39260 00020 N00016 E00020 Z00012 F033F033F038F038F038F084                
3590001 061039200 1 05 39214 00027 N00023 E00023 Z00013 F067F067F056F056F096F101                
A2006050620454122 014 382656 036 1421338 076 384614545V44d5112  2 65ã{èÈåßâ´                 56K
2220533 062046120 2 15 ///// 00082 N00073 E00058 Z00027 P001P///P001P///P002P///                
2220830 062046120 2 19 ///// 00145 N00138 E00137 Z00047 P003P///P003P///P002P///                
2220831 062046080 2 18 ///// 00265 N00264 E00132 Z00048 P002P///P001P///P002P///                
2110000 062046039 1 06 46057 00041 N00030 E00039 Z00017 F065F065F064F064F102F269                
2110001 062045549 1 06 46051 00085 N00085 E00071 Z00021 F172F172F163F163F171P205                
2110130 062046061 1 08 ///// 00039 N00038 E00033 Z00021 P003P///P001P///P001P///                
2130420 062046151 1 05 46152 00029 N00029 E00022 Z00008 F056F056F043F060F068F068                
2130431 062046149 1 08 ///// 00062 N00048 E00061 Z00033 P001P///P001P///P001P///                
2130433 062046067 1 08 ///// 00056 N00047 E00047 Z00021 P002P///P002P///P001P///                
2130439 062046071 1 07 ///// 00051 N00051 E00029 Z00014 P002P///P002P///P001P///                
2132733 062046188 1 06 ///// 00038 N00038 E00023 Z00011 P002P///P001P///P001P///                
2200200 062045551 1 10 46039 00049 N00023 E00049 Z00013 F054F054F048F048F069P205                
2200230 062046110 1 06 ///// 00050 N00040 E00044 Z00036 P001P///P001P///P001P///                
2201600 062046026 1 11 46151 00047 N00040 E00045 Z00021 F068F068F070F070F073F073                
2205200 062046045 1 07 46138 00031 N00030 E00029 Z00014 F077F077F083F083F080F055                
2205220 062046124 1 08 46173 00050 N00048 E00035 Z00010 F076F076F063F096F060F060                
2205231 062046160 1 07 ///// 00044 N00032 E00031 Z00022 P002P///P002P///P001P///                
2205232 062046200 1 05 ///// 00027 N00027 E00023 Z00012 P001P///P003P///P002P///                
2205233 062046260 1 06 ///// 00026 N00025 E00022 Z00013 P002P///P002P///P002P///                
2205235 062046130 1 07 ///// 00021 N00019 E00018 Z00013 P003P///P003P///P002P///                
2205236 062046130 1 06 ///// 00028 N00025 E00021 Z00015 P002P///P002P///P003P///                
2205300 062046029 1 07 46122 00035 N00032 E00028 Z00013 F070F070F067F067F215F232                
2205320 062046065 1 05 46070 00056 N00040 E00038 Z00019 F080F079F088F086F187F177                
2205332 062046150 1 05 ///// 00018 N00014 E00017 Z00013 P004P///P004P///P001P///                
2205500 062045596 1 07 46040 00038 N00027 E00038 Z00016 F074F074F068F068F140F252                
2205520 062045597 1 12 46034 00107 N00106 E00092 Z00039 F090F098F093F093F186F182                
2205630 062046140 1 08 ///// 00047 N00042 E00045 Z00016 P002P///P001P///P002P///                
2205700 062046044 1 10 46136 00044 N00030 E00038 Z00013 F042F042F032F032F090F056                
2205730 062046150 1 06 ///// 00031 N00018 E00027 Z00021 P002P///P002P///P002P///                
2205732 062046100 1 06 ///// 00033 N00033 E00020 Z00017 P003P///P002P///P001P///                
2205734 062046160 1 11 ///// 00045 N00033 E00038 Z00025 P002P///P003P///P002P///                
2210730 062046160 1 09 ///// 00047 N00044 E00045 Z00012 P003P///P003P///P001P///                
2211020 062046152 1 10 46184 00051 N00035 E00038 Z00014 F042F042F038F064F062F083                
2211130 062046210 1 06 ///// 00018 N00017 E00017 Z00010 P002P///P003P///P003P///                
2211630 062046210 1 09 ///// 00056 N00051 E00055 Z00024 P001P///P001P///P001P///                
2220000 062046060 1 08 46198 00055 N00053 E00036 Z00011 F083F089F116F116F063P205                
2220100 062046063 1 06 46140 00028 N00028 E00024 Z00010 F049F049F050F050F048F050                
2220120 062046141 1 08 46141 00031 N00027 E00029 Z00016 F041F040F062F063F122F063                
2220500 062045552 1 12 46049 00112 N00089 E00084 Z00044 F093F093F085F085F097F097                
2220501 062045536 1 08 46028 00115 N00105 E00054 Z00030 F110F110F076F076F072P205                
2220520 062045555 1 14 46057 00097 N00086 E00085 Z00030 F081F075F047F075F049F025                
2220521 062046023 1 12 46028 00064 N00062 E00055 Z00033 F087F114F041F045F116F093                
2220522 062046006 1 06 46008 00064 N00064 E00044 Z00024 F113F113F111F111F156F165                
2220531 062046020 1 05 ///// 00055 N00052 E00026 Z00019 P002P///P003P///P001P///                
2220532 062046080 1 08 ///// 00037 N00026 E00027 Z00019 P003P///P002P///P002P///                
2220620 062046104 1 13 46120 00070 N00057 E00049 Z00043 F050F050F051F050F049F049                
2221130 062046130 1 05 ///// 00021 N00012 E00015 Z00014 P003P///P003P///P003P///                
2221330 062046110 1 08 ///// 00047 N00040 E00035 Z00024 P002P///P003P///P001P///                
2221530 062046150 1 06 ///// 00032 N00030 E00026 Z00017 P002P///P002P///P001P///                
2221630 062046020 1 07 ///// 00099 N00070 E00069 Z00014 P001P///P001P///P001P///                
2500433 062046250 1 06 ///// 00035 N///// E///// Z///// P///P///P///P///P///P///                
2501230 062046240 1 06 ///// 00034 N///// E///// Z///// P///P///P///P///P///P///                
2504700 062046276 1 05 46308 00025 N00018 E00024 Z00009 F068F068F067F067F120F122                
2504732 062046230 1 07 ///// 00028 N///// E///// Z///// P///P///P///P///P///P///                
2511430 062046210 1 05 ///// 00041 N///// E///// Z///// P///P///P///P///P///P///                
2511531 062046170 1 08 ///// 00031 N///// E///// Z///// P///P///P///P///P///P///                
A2006050704473492 023 434609 094 1475432 120  3     43D54V5211  1 26ñkäCìπìåï˚â´              1K
1650120 070448389 1 08 48395 00027 N00027 E00018 Z00009 F039F037F037F040F046F046                
A2006050708331136 019 415591 077 1425613 073 413413233V   5111  1 30âYâÕâ´                    1K
1520020 070833277 1 09 33281 00036 N00012 E00035 Z00008 F048F049F041F042F138F138                
A2006050712165822 015 264102 040 1281149 062 504313536V38d5111  7294â´ìÍñ{ìáãﬂäC              1K
8000100 071217055 1 13 17117 00097 N00047 E00086 Z00037 F046F046F040F040F045F045                
A2006050715104389 006 341761 019 1390922 028  95507720V   5111  3103êVìáÅEê_í√ìáãﬂäC          1K
3560112 071510453 1 07 10460 00040 N00034 E00027 Z00024 F040F040F053F053F045F045                
A2006050718304333 017 350424 054 1390922 034  49409019V   5111  3100à…ì§îºìáìåï˚â´            1K
4400000 071830454 1 08 30470 00064 N00052 E00042 Z00027 F106F106F092F092F074F237                
A2006050719225430 003 354537 008 1370625 010 106204830V   5111  4140äÚïååßî¸îZíÜêºïî          3K
4302132 071922596 1 07 ///// 00152 N00104 E00119 Z00063 P001P///P001P///P001P///                
4325220 071922588 1 08 22590 00150 N00108 E00124 Z00051 F093F093F089F090F186F186                
4325236 071922599 1 07 ///// 00117 N00077 E00078 Z00087 P001P///P001P///P002P///                
A2006050720214864 011 361353 030 1394676 032 569309532V   5111  3 88àÔèÈåßìÏïî                9K
3000532 072022080 1 05 ///// 00077 N00047 E00069 Z00026 P///P///P///P///P///P///                
3016030 072022060 1 07 ///// 00073 N00058 E00059 Z00061 P///P///P///P///P///P///                
3016032 072022050 1 05 ///// 00081 N00077 E00053 Z00040 P///P///P///P///P///P///                
3110000 072022028 1 09 22071 00066 N00051 E00058 Z00016 F093F093F087F087F130F124                
3110031 072022090 1 06 ///// 00045 N00040 E00034 Z00023 P001P001P001P001P001P001                
3110100 072021589 1 07 22060 00088 N00062 E00076 Z00030 F098F098F098F098F218F125                
3110200 072022044 1 05 22050 00078 N00058 E00053 Z00017 F142F142F103F103F140F193                
3110232 072022040 1 05 ///// 00068 N00066 E00035 Z00035 P001P001P002P001P001P001                
3110431 072022050 1 07 ///// 00074 N00061 E00055 Z00026 P002P002P002P002P001P001                
A2006050800085645 003 340611 009 1350954 013  55704719V   5111  5190òaâÃéRåßñkïî              1K
5500320 080008586 1 08 08586 00198 N00183 E00163 Z00116 F104F128F132F132F263F168                
A2006050805200446 003 334308 013 1301353 012  72203629V   5111  7281ïüâ™åßñkêºâ´              1K
7100410 080520051 1 12 20059 00190 N00154 E00171 Z00097 F077F077F147F147F209F209                
A2006050812454433 003 340129 010 1333170 010 125706542D41V5112  6241ê£åÀì‡äCíÜïî            156K
5910234 081245599 2 15 ///// 00063 N///// E///// Z///// P///P///P///P///P///P///                
5920835 081246112 2 15 ///// 00071 N///// E///// Z///// P///P///P///P///P///P///                
6110130 081245580 2 15 ///// 00201 N00199 E00074 Z00050 P003P001P001P001P003P001                
6110300 081245483 2 22 45511 00405 N00236 E00368 Z00197 F042F042F110F110F292F106                
6110320 081245482 2 20 45506 00313 N00238 E00311 Z00101 F038F038F081F081F124F124                
6110330 081245500 2 16 ///// 00130 N00126 E00046 Z00043 P003P004P003P001P003P004                
6110331 081245470 2 16 ///// 00262 N00255 E00156 Z00096 P002P002P003P002P002P001                
6110930 081245570 2 17 ///// 00138 N00123 E00114 Z00040 P003P001P003P002P003P001                
6111300 081245527 2 15 45580 00111 N00069 E00087 Z00048 F126F126F091F091F125F125                
6112430 081245510 2 18 ///// 00194 N00149 E00127 Z00057 P003P001P003P001P003P001                
6112432 081245530 2 20 ///// 00084 N00084 E00072 Z00058 P004P004P003P004P003P001                
6112433 081245510 2 16 ///// 00101 N00072 E00100 Z00031 P004P001P003P001P003P004                
6112434 081245530 2 21 ///// 00132 N00119 E00075 Z00055 P004P001P002P002P002P001                
6112435 081245520 2 16 ///// 00109 N00062 E00091 Z00045 P004P002P002P004P002P002                
6200035 081245580 2 18 45589 00145 N00132 E00130 Z00072 P003P///P002P///P002P///                
6200037 081245570 2 16 46025 00157 N00123 E00157 Z00054 P002P///P001P///P001P///                
6200038 081245560 2 19 46003 00214 N00203 E00161 Z00078 P003P///P002P///P002P///                
6200200 081245542 2 15 46007 00134 N00093 E00106 Z00042 F037F037F039F039F086F086                
6202620 081245483 2 18 45486 00511 N00462 E00355 Z00247 F161F029F102F100F342F343                
6202630 081245470 2 22 45486 00595 N00501 E00519 Z00102 P002P///P003P///P003P///                
6202631 081245430 2 18 45446 00270 N00160 E00217 Z00180 P002P///P001P///P002P///                
6202730 081245530 2 16 45530 00188 N00163 E00081 Z00120 P002P///P002P///P001P///                
6202731 081245570 2 19 45574 00102 N00082 E00091 Z00057 P003P///P003P///P002P///                
6202732 081245570 2 15 45574 00080 N00074 E00059 Z00036 P002P///P002P///P001P///                
6202734 081245580 2 15 45579 00087 N00087 E00066 Z00052 P003P///P002P///P002P///                
6211620 081246040 2 16 46039 00374 N00356 E00294 Z00059 F153F153F177F177F156F156                
5321530 081246190 1 06 46195 00021 N00016 E00016 Z00015 P005P///P003P///P001P///                
5710034 081246346 1 10 ///// 00037 N00026 E00027 Z00020 P003P///P003P///P003P///                
5712320 081246275 1 06 46294 00032 N00032 E00030 Z00011 F059F058F047F047F104F103                
5800120 081246144 1 05 46167 00053 N00036 E00041 Z00016 F134F060F065F134F134F134                
5810121 081245542 1 12 46008 00091 N00074 E00077 Z00076 F083F083F058F058F148F148                
5810230 081245559 1 14 46036 00096 N00095 E00084 Z00040 P007P007P006P006P001P001                
5810320 081245548 1 07 46037 00048 N00040 E00047 Z00019 F095F124F135F131F107F107                
5810330 081245542 1 09 46013 00065 N00053 E00034 Z00027 P002P002P004P004P002P002                
5811931 081246053 1 07 46178 00031 N00025 E00025 Z00020 P002P002P002P002P002P205                
5813130 081245542 1 10 46020 00033 N00030 E00032 Z00026 P003P003P003P003P002P002                
5814333 081246012 1 05 46118 00033 N00027 E00025 Z00019 P002P002P003P003P001P034                
5814400 081246020 1 05 46106 00029 N00022 E00028 Z00012 F086F086F088F088F085F085                
5814500 081245546 1 07 46023 00041 N00034 E00036 Z00020 F107F107F116F116F111F112                
5814530 081245533 1 07 46046 00028 N00023 E00027 Z00014 P004P004P004P004P001P205                
5814531 081245546 1 07 46021 00044 N00035 E00033 Z00027 P002P002P002P002P002P002                
5814630 081246061 1 05 46073 00024 N00016 E00019 Z00016 P003P003P004P004P002P002                
5814930 081245558 1 11 46038 00076 N00068 E00060 Z00039 P006P006P006P006P002P002                
5900035 081246126 1 06 ///// 00030 N///// E///// Z///// P///P///P///P///P///P///                
5900037 081246132 1 05 ///// 00027 N///// E///// Z///// P///P///P///P///P///P///                
5903634 081246156 1 07 ///// 00041 N///// E///// Z///// P///P///P///P///P///P///                
5903635 081246146 1 08 ///// 00032 N///// E///// Z///// P///P///P///P///P///P///                
5903732 081246254 1 05 ///// 00025 N///// E///// Z///// P///P///P///P///P///P///                
5903800 081246169 1 10 46197 00084 N00082 E00041 Z00015 F109F113F103F103F149F200                
5903801 081246192 1 05 46239 00028 N00026 E00027 Z00014 F081F081F114F114F102F106                
5910100 081246010 1 11 46049 00082 N00061 E00060 Z00038 F118F118F123F123F039F039                
5910120 081246018 1 07 46022 00062 N00055 E00057 Z00022 F179F179F092F092F213F208                
5910130 081246079 1 08 ///// 00072 N///// E///// Z///// P///P///P///P///P///P///                
5910131 081246037 1 11 ///// 00044 N///// E///// Z///// P///P///P///P///P///P///                
5910132 081246057 1 13 ///// 00098 N///// E///// Z///// P///P///P///P///P///P///                
5910230 081246002 1 08 ///// 00029 N///// E///// Z///// P///P///P///P///P///P///                
5910231 081245562 1 12 ///// 00050 N///// E///// Z///// P///P///P///P///P///P///                
5910232 081246000 1 14 ///// 00077 N///// E///// Z///// P///P///P///P///P///P///                
5910233 081245581 1 14 ///// 00118 N///// E///// Z///// P///P///P///P///P///P///                
5910400 081245543 1 14 46008 00098 N00071 E00097 Z00015 F056F056F056F056F108P205                
5910431 081246028 1 08 ///// 00073 N///// E///// Z///// P///P///P///P///P///P///                
5910433 081246008 1 12 ///// 00057 N///// E///// Z///// P///P///P///P///P///P///                
5910434 081245579 1 14 ///// 00088 N///// E///// Z///// P///P///P///P///P///P///                
5910435 081246035 1 07 ///// 00032 N///// E///// Z///// P///P///P///P///P///P///                
5910436 081245588 1 07 ///// 00037 N///// E///// Z///// P///P///P///P///P///P///                
5910500 081245579 1 08 46072 00032 N00020 E00031 Z00018 F045F045F053F053F077P205                
5912820 081246065 1 05 46087 00053 N00035 E00052 Z00013 F135F124F132F130F125F128                
5913430 081246115 1 05 ///// 00030 N///// E///// Z///// P///P///P///P///P///P///                
5920330 081246164 1 06 ///// 00026 N///// E///// Z///// P///P///P///P///P///P///                
5920430 081246158 1 09 ///// 00040 N///// E///// Z///// P///P///P///P///P///P///                
5920530 081246188 1 06 ///// 00037 N///// E///// Z///// P///P///P///P///P///P///                
5920630 081246126 1 08 ///// 00027 N///// E///// Z///// P///P///P///P///P///P///                
5920720 081246216 1 09 46247 00052 N00032 E00052 Z00015 F061F061F062F062F099F103                
5920730 081246191 1 06 ///// 00027 N///// E///// Z///// P///P///P///P///P///P///                
5920801 081246037 1 05 46140 00054 N00037 E00045 Z00011 F110F110F091F091F091P205                
5920834 081246071 1 13 ///// 00067 N///// E///// Z///// P///P///P///P///P///P///                
5920837 081246140 1 09 ///// 00037 N///// E///// Z///// P///P///P///P///P///P///                
5920839 081246072 1 08 ///// 00033 N///// E///// Z///// P///P///P///P///P///P///                
5920840 081246048 1 07 ///// 00040 N///// E///// Z///// P///P///P///P///P///P///                
5921000 081246089 1 07 46101 00038 N00027 E00028 Z00025 F053F053F063F063F048F048                
5921031 081246100 1 07 ///// 00033 N///// E///// Z///// P///P///P///P///P///P///                
5921032 081246115 1 07 ///// 00044 N///// E///// Z///// P///P///P///P///P///P///                
5921033 081246068 1 08 ///// 00050 N///// E///// Z///// P///P///P///P///P///P///                
5921034 081246057 1 12 ///// 00102 N///// E///// Z///// P///P///P///P///P///P///                
5921133 081246211 1 08 ///// 00049 N///// E///// Z///// P///P///P///P///P///P///                
5921330 081246141 1 06 ///// 00022 N///// E///// Z///// P///P///P///P///P///P///                
5921431 081246115 1 07 ///// 00038 N///// E///// Z///// P///P///P///P///P///P///                
5921530 081246133 1 08 ///// 00037 N///// E///// Z///// P///P///P///P///P///P///                
5923031 081246159 1 05 ///// 00021 N///// E///// Z///// P///P///P///P///P///P///                
5923130 081246046 1 07 ///// 00034 N///// E///// Z///// P///P///P///P///P///P///                
5923231 081245510 1 07 ///// 00032 N///// E///// Z///// P///P///P///P///P///P///                
5923232 081246034 1 12 ///// 00061 N///// E///// Z///// P///P///P///P///P///P///                
6003520 081246031 1 06 46046 00040 N00031 E00026 Z00021 F084F085F081F085F107F107                
6003620 081245589 1 09 45595 00049 N00036 E00032 Z00047 F068F069F086F086F073F075                
6003800 081245493 1 09 45529 00070 N00063 E00059 Z00026 F065F065F123F123F220P205                
6003820 081245530 1 07 45533 00068 N00043 E00058 Z00021 F074F077F117F117F130F130                
6003833 081245550 1 10 ///// 00056 N///// E///// Z///// P///P///P///P///P///P///                
6100000 081245553 1 05 46027 00029 N00025 E00029 Z00015 F110F110F118F118F144F225                
6100031 081246000 1 08 ///// 00080 N00070 E00065 Z00015 P001P001P001P001P002P001                
6100032 081246040 1 07 ///// 00037 N00030 E00030 Z00019 P005P001P005P004P001P001                
6100034 081246000 1 07 ///// 00049 N00033 E00039 Z00026 P003P002P002P001P001P001                
6100035 081246000 1 06 ///// 00049 N00043 E00027 Z00017 P002P001P005P001P003P002                
6100036 081245590 1 10 ///// 00065 N00061 E00024 Z00043 P003P006P006P004P003P001                
6101000 081245589 1 10 46087 00066 N00048 E00064 Z00025 F090F090F110F110F090F090                
